"id","course_id","assignment_portal_course_id","course_plan_type_id","added_date","modified_date","status","orginal_price","promotional_price","description","course_plan_position","btn_sign_up","btn_enroll_now","btn_complete_view","installment_facility","no_of_installment","lms_course_id","edmingle_course_id","view_details_link","is_assignment_portal_eligible","plan_has_alias","alias_course_id","show_promo_price","additional_price","wocommerce_id","curr_name"
"1","3","3","2","2022-12-09 07:32:36","2026-08-11 02:34:11","A","66000","","<p>-1 online live class/ week</p>

<p>-2 practical or drafting exercises per week</p>

<p>-Get digital access to entire study material</p>

<p>-Access on LMS, Android &amp; iOS app</p>

<p>-Instructor feedback on assignments</p>

<p>-Unlimited doubt clearing sessions.</p>

<p>-Instructor led course with online live classes</p>

<p>-Online exams (give exams as per your convenience on given time slots)</p>

<p>-Certificate (by courier)</p>

<p>-CV enhancement</p>

<p>-Coaching for professional networking</p>

<p>-Training for writing and publishing articles</p>

<p>-Internship &amp; Job Support</p>

<p>-Interview preparation guidance</p>

<p>-Access to updated content online for 3 years</p>

<p>-Top students are recommended to law firms and companies (as applicable)</p>","1","N","Y","N","N","0","undefined","23709","","Y","N","0","N",,"0","INR"
"2","2","2","2","2022-12-09 07:33:58","2025-03-30 06:20:22","A","40000","","<p>-Printed study material (by courier)</p>

<p>-1 online live class/ week</p>

<p>-2 practical or drafting exercises per week</p>

<p>-Get digital access to entire study material</p>

<p>-Access on LMS, Android &amp; iOS app</p>

<p>-Instructor feedback on assignments</p>

<p>-Unlimited doubt clearing sessions.</p>

<p>-Instructor led course with online live classes</p>

<p>-Online exams (give exams as per your convenience on given time slots)</p>

<p>-Certificate (by courier)</p>

<p>-CV enhancement</p>

<p>-Coaching for professional networking</p>

<p>-Training for writing and publishing articles</p>

<p>-Internship &amp; Job Support</p>

<p>-Interview preparation guidance</p>

<p>-Access to updated content online for 3 years</p>

<p>-Top students are recommended to law firms and companies (as applicable)</p>

<p>&nbsp;</p>","1","N","Y","N","N","0","undefined","23708","","Y","N","0","N",,"0","INR"
"3","4","4","2","2022-12-13 02:02:54","2023-09-01 08:44:38","D","50000","45000","<p>Why should you expand your clientele and practice beyond the national boundaries?&nbsp;</p>

<p>Doesn&rsquo;t that come only with years and years of experience?</p>

<p>How can you advise clients on laws of other countries when you aren&rsquo;t qualified to practise in that country?</p>

<p>Why does enforcement matter? Isn&rsquo;t it up to the litigators?</p>

<p>Well, there&rsquo;s no time like now to expand your practice beyond the barriers of your country.</p>

<p>Consider this: the global legal market is approximately USD 800 billion. The US, one of the huge legal markets, is around USD 300 billion. As against this, back home in India, our legal industry is only USD 2 billion in size.</p>

<p>This creates a great opportunity to cater to international markets, rather than just focussing on India or your home country.&nbsp;</p>","1","N","Y","N","Y","2","undefined","0","","N","N","0","Y",,"0","INR"
"4","6","6","2","2022-12-14 04:28:18","2026-01-30 10:54:28","A","69000","","<p>-1 online live class/ week</p>

<p>-2 practical or drafting exercises per week</p>

<p>-Get digital access to entire study material</p>

<p>Hardcopy study materials- available on additional charges.</p>

<p>-Access on LMS, Android &amp; iOS app</p>

<p>-Instructor feedback on assignments</p>

<p>-Unlimited doubt clearing sessions.</p>

<p>-Instructor led course with online live classes</p>

<p>-Online exams (give exams as per your convenience on given time slots)</p>

<p>-Certificate (by courier)</p>

<p>-CV enhancement</p>

<p>-Coaching for professional networking</p>

<p>-Training for writing and publishing articles</p>

<p>-Internship &amp; Job Support</p>

<p>-Interview preparation guidance</p>

<p>-Access to updated content online for 3 years</p>

<p>-Top students are recommended to law firms and companies (as applicable)</p>","1","N","Y","N","N","0","undefined","23700","","Y","N","0","N",,"0","INR"
"5","7","7","2","2022-12-14 05:12:17","2023-10-13 07:45:19","D","36600","","<p>Printed study material (by courier)</p>

<p>1 online live class/ week&nbsp;</p>

<p>60 mock test</p>

<p>2 practical or 1 drafting exercises per week&nbsp;</p>

<p>1 writing assignment</p>

<p>Get digital access to entire study material</p>

<p>Access on LMS, Android &amp; iOS app</p>

<p>Instructor feedback on assignments</p>

<p>Doubt clearing on WhatsApp, LMS &amp; classes</p>

<p>Instructor led course with online live classes</p>

<p>Online exams (give exams as per your convenience on given time slots)</p>

<p>CV enhancement</p>

<p>Coaching for professional networking</p>

<p>Training for writing and publishing articles</p>

<p>Internship &amp; Job Support</p>

<p>Interview preparation guidance</p>

<p>Networking with other students &amp; alumni</p>

<p>Access to updated content online for 3 years</p>

<p>Doubt clearing within 24 hours</p>

<p>Top students are recommended to law firms and companies</p>

<p>Internship and job support available</p>","1","N","Y","N","N","0","undefined","23706","","Y","N","0","N",,"0","INR"
"6","8","8","2","2022-12-14 05:54:18","2026-01-30 10:38:49","A","63000","","<p>-1 online live class/ week</p>

<p>-2 practical or drafting exercises per week</p>

<p>-Get digital access to entire study material</p>

<p>Hardcopy study materials- available on additional charges.</p>

<p>-Access on LMS, Android &amp; iOS app</p>

<p>-Instructor feedback on assignments</p>

<p>-Unlimited doubt clearing sessions.</p>

<p>-Instructor led course with online live classes</p>

<p>-Online exams (give exams as per your convenience on given time slots)</p>

<p>-Certificate (by courier)</p>

<p>-CV enhancement</p>

<p>-Coaching for professional networking</p>

<p>-Training for writing and publishing articles</p>

<p>-Internship &amp; Job Support</p>

<p>-Interview preparation guidance</p>

<p>-Access to updated content online for 3 years</p>

<p>-Top students are recommended to law firms and companies (as applicable)</p>","1","N","Y","N","N","0","undefined","23699","","Y","N","0","N",,"0","INR"
"7","9","9","2","2022-12-14 06:54:02","2023-10-13 06:50:54","D","50000","","<p>Printed study material (by courier)<br />
2 practical exercises/ Drafting exercises per week (24 weeks)<br />
6&nbsp; writing assignments&nbsp;<br />
1-2 online live class/week&nbsp;<br />
Get digital access to entire study material<br />
Access on LMS, Android &amp; iOS app<br />
Instructor feedback on assignments<br />
Doubt clearing on WhatsApp, LMS &amp; classes<br />
Instructor led course with online live classes<br />
Online exams (give exams as per your convenience on given time slots)<br />
Certificate (by courier)<br />
CV enhancement<br />
Coaching for professional networking<br />
Internship &amp; job support<br />
Interview preparation support<br />
Networking with students &amp; alumni<br />
Content access for 3 years<br />
Doubt clearing within 24 hours<br />
Top performers are recommended for jobs and client opportunities</p>","1","N","Y","N","N","0","undefined","23707","","Y","N","0","N",,"0","INR"
"8","10","10","2","2022-12-14 07:22:04","2025-03-22 06:32:41","A","40000","","<p>Get digital access to entire study material</p>

<p>Access on LMS, Android &amp; iOS app</p>

<p>2 online live class/ week (12&nbsp;weeks)</p>

<p>Instructor feedback on assignments</p>

<p>Doubt clearing on WhatsApp, LMS &amp; classes</p>

<p>Instructor led course with online live classes</p>

<p>Online exams (give exams as per your convenience on given time slots)</p>

<p>Access to updated content online for 3 years</p>","1","N","Y","N","N","0","undefined","23705","","Y","N","0","N",,"0","INR"
"9","11","11","2","2022-12-25 01:41:06","2025-12-14 07:30:28","A","60000","","<p>- 1 online live class/ week</p>

<p>- 2 practical or drafting exercises per week</p>

<p>- Get digital access to entire study material</p>

<p>- Hardcopy study materials- available on additional charges.</p>

<p>- Access on LMS, Android &amp; iOS app</p>

<p>- Instructor feedback on assignments</p>

<p>- Unlimited doubt clearing sessions.</p>

<p>- Instructor led course with online live classes</p>

<p>- Online exams (give exams as per your convenience on given time slots)</p>

<p>- Certificate (by courier)</p>

<p>- CV enhancement</p>

<p>- Coaching for professional networking</p>

<p>- Training for writing and publishing articles</p>

<p>- Internship &amp; Job Support</p>

<p>- Interview preparation guidance</p>

<p>- Access to updated content online for 3 years</p>

<p>- Top students are recommended to law firms and companies (as applicable)</p>","1","N","Y","N","N","0","undefined","23701","","Y","N","0","N",,"0","INR"
"10","12","12","2","2022-12-27 07:20:55","2026-08-03 05:29:29","A","52650","","<p>1 online live class/ week</p>

<p>2 practical or drafting exercises per week</p>

<p>Get digital access to entire study material</p>

<p>Access on LMS, Android &amp; iOS app</p>

<p>Instructor feedback on assignments</p>

<p>Unlimited doubt clearing sessions.</p>

<p>Instructor led course with online live classes</p>

<p>Online exams (give exams as per your convenience on given time slots)</p>

<p>Certificate (by courier)</p>

<p>CV enhancement</p>

<p>Coaching for professional networking</p>

<p>Training for writing and publishing articles</p>

<p>Internship &amp; Job Support</p>

<p>Interview preparation guidance</p>

<p>Access to updated content online for 3 years</p>

<p>Top students are recommended to law firms and companies (as applicable)</p>","1","N","Y","N","N","0","undefined","23710","","Y","N","0","N",,"0","INR"
